Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
High,3530,Ipswitch WhatsUp Web界面SQL注入漏洞,Ipswitch,CVE-2005-1250,CNNVD-200506-208,NA,2017-08-01,2023-12-07,
High,6940,微软Windows超链接缓冲区溢出漏洞,Microsoft,CVE-2005-0057,CNNVD-200505-359,NA,2017-08-01,2023-12-07,
High,7250,Microsoft Internet Explorer CSS Import跨域限制绕过漏洞,Microsoft,CVE-2005-4089,CNNVD-200512-162,NA,2017-08-01,2023-12-07,
High,7380,Microsoft Internet Explorer文件拖拽安装漏洞,Microsoft,CVE-2005-0053,CNNVD-200505-056,NA,2017-08-01,2023-12-07,
High,9300,Microsoft Windows WMF文件处理远程代码执行漏洞,Microsoft,CVE-2005-4560,CNNVD-200512-584,NA,2017-08-01,2023-12-07,
High,18700,GNU Mailutils imap4d SEARCH格式化字符串漏洞,Gnu,CVE-2005-2878,CNNVD-200509-101,NA,2017-08-01,2023-12-07,
High,23100,BitDefender Antivirus Logging Function格式化字符串漏洞,Softwin,CVE-2005-3154,CNNVD-200510-028,NA,2017-08-01,2023-12-07,
High,24631,MySQL MaxDB Webtool GET命令缓冲区溢出漏洞,Mysql,CVE-2005-0684,CNNVD-200504-094,NA,2017-08-01,2023-12-07,
High,24680,Oracle Forms服务任意系统命令执行漏洞,Oracle,CVE-2005-2372,CNNVD-200507-257,NA,2017-08-01,2023-12-07,
High,24739,Microsoft Windows恶意快捷方式远程代码执行漏洞,Microsoft,"CVE-2005-0550,CVE-2005-0551...","CNNVD-200505-058,CNNVD-200505-017...",NA,2017-08-01,2023-12-07,
High,105220,vBulletin misc.php 代码执行漏洞,Jelsoft,CVE-2005-0511,CNNVD-200502-077,NA,2017-08-01,2023-12-07,
High,105280,Wordpress cache_lastpostdate PHP 代码执行漏洞,Wordpress,CVE-2005-2612,CNNVD-200508-176,NA,2017-08-01,2023-12-07,
High,199810,Savant Web服务器缓冲区溢出漏洞,Savant,CVE-2005-0338,CNNVD-200505-417,NA,2017-08-01,2023-12-07,
High,286280,Apple Mac OS X KHTMLParser远程拒绝服务漏洞,Apple,CVE-2005-4504,CNNVD-200512-545,NA,2017-08-01,2023-12-07,
High,731470,Helper Lite WordPress插件反射型跨站脚本漏洞,Matbao,CVE-2023-0448,CNNVD-202301-2025,NA,2023-06-21,2023-12-07,
High,732970,VMware Workspace ONE Access CVE-2022-22955 认证绕过漏洞,Vmware,"CVE-2022-22955,CVE-2022-229...","CNNVD-202204-2545,CNNVD-202204-25...",NA,2023-07-29,2023-12-07,
High,742960,TG 全息AI网络运维平台 命令注入漏洞,NA,NA,NA,NA,2023-11-30,2023-12-07,
High,5290,Gaim AIM-ICQ 协议处理缓冲区溢出漏洞,Rob flynn,"CVE-2005-2102,CVE-2005-2103","CNNVD-200508-154,CNNVD-200508-120",NA,2017-06-30,2023-12-07,
High,11930,Oracle Database SYS.KUPV SQL注入漏洞,Oracle,"CVE-2006-0260,CVE-2006-0586","CNNVD-200601-217,CNNVD-200602-099",NA,2017-06-30,2023-12-07,
High,17580,HP OpenView Network Node Manager CVE-2005-2773 远端命令执行漏洞,Hp,CVE-2005-2773,CNNVD-200509-028,NA,2017-06-30,2023-12-07,
High,21320,CVS Annotate命令超长字符串缓冲区溢出漏洞,Cvs,CVE-2005-0753,CNNVD-200504-071,NA,2017-06-30,2023-12-07,
High,38050,Cisco Secure ACS EAP-TLS认证绕过漏洞,Cisco,CVE-2004-1099,CNNVD-200501-056,NA,2017-06-30,2023-12-07,
High,38730,F-Secure 反病毒库堆溢出漏洞,F-secure,CVE-2005-0350,CNNVD-200505-346,NA,2017-06-30,2023-12-07,
High,39000,Sophos反病毒Visio文件解析缓冲区溢出漏洞,Sophos,CVE-2005-2768,CNNVD-200509-021,NA,2017-06-30,2023-12-07,
High,39010,Sun Solaris DHCP客户端任意代码执行漏洞,Sun,CVE-2005-2870,CNNVD-200509-073,NA,2017-06-30,2023-12-07,
High,39270,CA Message Queuing CVE-2005-2668缓冲区溢出漏洞,Broadcom,CVE-2005-2668,CNNVD-200508-250,NA,2017-06-30,2023-12-07,
High,39290,Oracle数据库sys.pbsde.init缓冲区溢出漏洞,Oracle,CVE-2005-3438,CNNVD-200511-074,NA,2017-06-30,2023-12-07,
High,55740,Linux-FTPD-SSL FTP服务器远程缓冲区溢出漏洞,Linux-ftpd-ssl,CVE-2005-3524,CNNVD-200511-142,NA,2017-06-30,2023-12-07,
High,56151,Peercast URL格式化字符串攻击,Peercast,CVE-2005-1806,CNNVD-200505-1220,NA,2017-06-30,2023-12-07,
High,59330,Intersoft NetTerm Netftpd USER缓冲区溢出漏洞,Intersoft,CVE-2005-1323,CNNVD-200505-616,NA,2017-06-30,2023-12-07,
High,59411,BakBone NetVault 远程堆缓冲区溢出漏洞,Bakbone,CVE-2005-1547,CNNVD-200505-1032,NA,2017-06-30,2023-12-07,
High,3360776,远控木马 Tiggre：gentexman37.xyz,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,544020,Microsoft Exchange CVE-2020-0688 代码执行漏洞,Microsoft,CVE-2020-0688,CNNVD-202002-550,NA,2020-02-28,2023-11-30,
High,544021,Microsoft Exchange CVE-2020-0688 代码执行漏洞,Microsoft,CVE-2020-0688,CNNVD-202002-550,NA,2020-02-28,2023-11-30,
High,502550,Microsoft Internet Explorer CVE-2019-0940远程代码执行漏洞,NA,CVE-2019-0940,CNNVD-201905-429,NA,2019-05-23,2023-11-30,
High,2700,Apple Mac OS X 安装包文件名格式化字符串漏洞,Apple,CVE-2007-0465,CNNVD-200701-551,NA,2017-08-01,2023-11-30,
High,618000,SaltStack Salt API SSH Client 命令注入漏洞,Saltstack,"CVE-2020-16846,CVE-2020-255...","CNNVD-202011-302,CNNVD-202011-308...",NA,2020-12-10,2023-11-30,
High,3360800,勒索软件 GandCrab：nousiieiffgogogoo.net,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742981,Oracle Hospitality OPERA 5 Property Services 远程代码执行漏洞,NA,CVE-2023-21932,CNNVD-202304-1537,NA,2023-11-30,2023-11-30,
High,3360788,木马 CobaltStrike：lgbtqplusfriendlydomain.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360789,病毒 Sality：lpbmx.ru,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742440,用友 NC-Cloud uploadChunk 任意文件上传漏洞,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360781,木马 FiveSysRootkit：jxc9rw.glzho8n4yb.xyz,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360782,木马域名：kinozavr.fun,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360783,木马 LokiBot：kitchenwalla.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360784,病毒 Sality：kjwre77638dfqwieuoi.info,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360785,木马域名：kuyhaa-me.pw,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742522,Cloudpanel file-manager 远程代码执行漏洞,Mgt-commerce,CVE-2023-35885,CNNVD-202306-1507,NA,2023-11-30,2023-11-30,
High,742940,KubePi LoginLogsSearch 未授权访问漏洞,Fit2cloud,CVE-2023-22478,CNNVD-202301-1128,NA,2023-11-30,2023-11-30,
High,742490,Ruijie RG-EW1200G CVE-2023-3306 命令注入漏洞,Ruijie,CVE-2023-3306,CNNVD-202306-1355,NA,2023-11-30,2023-11-30,
High,742880,Ivanti EPMM CVE-2023-35082 未授权接口访问漏洞,Ivanti,CVE-2023-35082,CNNVD-202308-1335,NA,2023-11-30,2023-11-30,
High,742830,PyTorch TorchServe CVE-2023-43654 服务端请求伪造漏洞,Pytorch,CVE-2023-43654,CNNVD-202309-2565,NA,2023-11-30,2023-11-30,
High,3360748,木马域名：bigtopweb.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360749,#N/A域名：bitcoin.viabtc.io,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360745,矿池域名：zcoin.miningpoolhub.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360746,木马 Farfli：azase123.f3322.net,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360747,矿池域名：bch.viabtc.io,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360833,矿池域名：xmr.miner.center,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742890,I Doc View cmd.json接口远程代码执行漏洞,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360831,矿池域名：xmr.hashcity.org,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360780,木马 FiveSysRootkit：j-nzbcvp5t.ouc4eerq1dvlwmjg7.xyz,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742250,Adobe Acrobat Reader DC resetForm CVE-2023-21608 释放后重用漏洞,Adobe,CVE-2023-21608,CNNVD-202301-1479,NA,2023-11-30,2023-11-30,
High,3360830,矿池域名：xmr.2miners.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742160,Milesight工业路由器敏感信息泄露漏洞,Milesight,CVE-2023-43261,CNNVD-202310-265,NA,2023-11-30,2023-11-30,
High,3360815,矿池域名：stratum-ravencoin.flypool.org,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742521,Cloudpanel file-manager 远程代码执行漏洞,Mgt-commerce,CVE-2023-35885,CNNVD-202306-1507,NA,2023-11-30,2023-11-30,
High,742090,Apple Safari WebKit CVE-2022-42867 释放后重用漏洞,Apple,CVE-2022-42867,CNNVD-202212-3033,NA,2023-11-30,2023-11-30,
High,742970,Metersphere plugin 远程命令执行漏洞,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360759,矿池域名：de02.supportxmr.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360758,矿池域名：de.moneroocean.stream,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360757,病毒 Sality：data-ps.org,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360756,木马 FiveSysRootkit：cv3nzelht1.oxdfwq.xyz,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360755,银行木马 Pegasus：cdnwa.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360754,木马 Farfli：canossadhule.in,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360753,矿池域名：btg.suprnova.cc,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360752,矿池域名：btc.viabtc.io,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360751,矿池域名：btc.ukrpool.com,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,3360750,病毒 Sality：boyabateml.k12.tr,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,743040,用友移动管理平台任意文件上传漏洞,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,743041,用友移动管理平台任意文件上传漏洞,NA,NA,NA,NA,2023-11-30,2023-11-30,
High,742740,TOTOLINK X5000R CVE-2021-27708命令注入漏洞,NA,CVE-2021-27708,CNNVD-202104-1066,NA,2023-11-24,2023-11-30,
Information,389900,WordPress wp-login.php访问尝试,NA,NA,NA,NA,2017-09-28,2023-11-03,
Information,389910,MSSQL数据库登录认证失败,NA,NA,NA,NA,2017-09-28,2023-11-03,
Information,389980,MSSQL数据库sp_addsvrrolemember执行,NA,NA,NA,NA,2017-09-28,2023-11-03,
Information,389990,MSSQL数据库sp_password执行,NA,NA,NA,NA,2017-09-28,2023-11-03,
Information,390020,MySQL数据库登录认证失败,NA,NA,NA,NA,2017-09-28,2023-11-03,
Information,390070,FTP服务器登录失败,NA,NA,NA,NA,2017-09-28,2023-11-03,
High,740140,RARLAB WinRAR 文件扩展名欺骗漏洞,Rarlab,CVE-2023-38831,CNNVD-202308-1943,NA,2023-09-22,2023-11-02,
High,741350,Ubiquiti EdgeRouter X 2.0.9-hotfix.6 命令注入漏洞,Ui,CVE-2023-1458,CNNVD-202303-2144,NA,2023-11-02,2023-11-02,
High,741230,Complete Online Job Search System SQL注入漏洞,Complete online job search system project,CVE-2022-32015,CNNVD-202206-365,NA,2023-11-02,2023-11-02,
High,740701,Craft CMS CVE-2023-41892 远程代码执行漏洞,Craftcms,CVE-2023-41892,CNNVD-202309-992,NA,2023-11-02,2023-11-02,
High,741455,Cisco IOS XE Web UI CVE-2023-20198 权限提升漏洞 - 设备重启,Cisco,CVE-2023-20198,CNNVD-202310-1209,NA,2023-10-23,2023-11-02,
High,741454,Cisco IOS XE Web UI CVE-2023-20198 权限提升漏洞 - 配置修改,Cisco,CVE-2023-20198,CNNVD-202310-1209,NA,2023-10-23,2023-11-02,
High,741453,Cisco IOS XE Web UI CVE-2023-20198 权限提升漏洞 - 用户创建,Cisco,CVE-2023-20198,CNNVD-202310-1209,NA,2023-10-23,2023-11-02,
High,741452,Cisco IOS XE Web UI CVE-2023-20198 权限提升漏洞 - 恶意脚本访问,Cisco,CVE-2023-20198,CNNVD-202310-1209,NA,2023-10-23,2023-11-02,
High,741451,Cisco IOS XE Web UI CVE-2023-20198 权限提升漏洞 - 恶意脚本访问,Cisco,CVE-2023-20198,CNNVD-202310-1209,NA,2023-10-23,2023-11-02,
High,741450,Cisco IOS XE Web UI CVE-2023-20198 权限提升漏洞 - 恶意脚本访问,Cisco,CVE-2023-20198,CNNVD-202310-1209,NA,2023-10-23,2023-11-02,
High,517240,LibreOffice LibreLogo 任意代码执行漏洞,Libreoffice,CVE-2019-9848,CNNVD-201907-993,NA,2019-12-20,2023-11-02,
High,108350,Microsoft Internet Explorer CVE-2013-3917内存损坏漏洞,Microsoft,CVE-2013-3917,CNNVD-201311-170,NA,2017-06-30,2023-11-02,
High,623720,Apache Unomi 远程代码执行,Apache,"CVE-2020-11975,CVE-2020-139...","CNNVD-202006-555,CNNVD-202011-185...",NA,2020-12-25,2023-11-02,
High,728682,VMware vRealize Log Insight CVE-2022-31711 配置信息泄露漏洞,Vmware,"CVE-2022-31704,CVE-2022-317...","CNNVD-202301-2074,CNNVD-202301-20...",NA,2023-02-09,2023-11-02,
High,728680,VMware vRealize Log Insight CVE-2022-31704 访问控制缺陷,Vmware,"CVE-2022-31704,CVE-2022-317...","CNNVD-202301-2074,CNNVD-202301-20...",NA,2023-02-09,2023-11-02,
High,725930,Wavlink WN533A8 CVE-2022-34046 信息泄露漏洞,Wavlink,CVE-2022-34046,CNNVD-202207-2061,NA,2023-09-08,2023-11-02,
High,741220,Complete Online Job Search System SQL注入漏洞,Complete online job search system project,CVE-2022-32018,CNNVD-202206-360,NA,2023-11-02,2023-11-02,
High,741620,D-link DIR_878_FW1.30B08.bin CVE-2022-48108 命令注入漏洞,Dlink,CVE-2022-48108,CNNVD-202301-2268,NA,2023-11-02,2023-11-02,
High,741670,D-link DIR_878_FW1.30B08.bin CVE-2022-48107 命令注入漏洞,Dlink,CVE-2022-48107,CNNVD-202301-2267,NA,2023-11-02,2023-11-02,
High,3360744,木马 Kryptik：itqnitgj.org,NA,NA,NA,NA,2023-11-02,2023-11-02,
High,3360743,Gamaredon恶意软件：rasimla.ru,NA,NA,NA,NA,2023-11-02,2023-11-02,
High,738661,Ivanti Avalanche WLAvalancheService.exe 堆栈缓冲区溢出漏洞,Ivanti,CVE-2023-32560,CNNVD-202308-997,NA,2023-11-02,2023-11-02,
High,741680,多款产品 goform_set_cmd_process 信息泄露漏洞,"Apache,Zte","CVE-2019-3411,CVE-2022-2394...","CNNVD-201906-376,CNNVD-202201-233...",NA,2023-11-02,2023-11-02,
High,734511,Delta Electronics InfraSuite 设备反序列化漏洞,Deltaww,CVE-2023-1133,CNNVD-202303-2225,NA,2023-11-02,2023-11-02,
High,729430,Inductive Automation Ignition AuthenticatedPage 身份验证绕过漏洞,Inductiveautomation,CVE-2022-35869,CNNVD-202207-1495,NA,2023-11-02,2023-11-02,
High,741780,WordPress wpForo Forum plugin CVE-2023-2249 本地文件包含漏洞,Gvectors,CVE-2023-2249,CNNVD-202306-681,NA,2023-11-02,2023-11-02,
High,741650,Snakeyaml 反序列化远程代码执行漏洞,Snakeyaml project,CVE-2022-1471,CNNVD-202212-1820,NA,2023-11-02,2023-11-02,
High,741690,Ivanti EPMM 未授权接口访问漏洞,Ivanti,CVE-2023-35078,CNNVD-202307-1990,NA,2023-11-02,2023-11-02,
High,6165800,Web后门 - HTTP请求负载包含JSP一句话木马,NA,NA,NA,NA,2023-11-02,2023-11-02,
High,728681,VMware vRealize Log Insight CVE-2022-31706 目录遍历漏洞,Vmware,"CVE-2022-31704,CVE-2022-317...","CNNVD-202301-2074,CNNVD-202301-20...",NA,2023-11-02,2023-11-02,
High,741660,HTTP带外注入攻击 - DNSLog 域名：appscan.ibm,NA,NA,NA,NA,2023-11-02,2023-11-02,
High,741661,DNSLog平台访问 (appscan.ibm) -- DNS 请求,NA,NA,NA,NA,2023-11-02,2023-11-02,
High,3360742,挖矿木马 CoinMiner：pool.blackcat.pm,NA,NA,NA,NA,2023-11-02,2023-11-02,
High,6165801,Web后门 - HTTP请求负载包含JSP一句话木马,NA,NA,NA,NA,2023-11-02,2023-11-02,
High,628510,Apache Struts  OGNL BeanMap 代码执行漏洞,"Oracle,Apache","CVE-2020-17530,CVE-2021-318...","CNNVD-202012-449,CNNVD-202204-322...",NA,2020-12-10,2023-11-02,
High,735410,TOTOLINK cstecgi.cgi 命令注入漏洞,Totolink,"CVE-2022-27005,CVE-2022-364...","CNNVD-202203-1513,CNNVD-202208-39...",NA,2023-08-09,2023-11-02,
High,441420,Kamailio CVE-2018-8828堆缓冲区溢出漏洞,Kamailio,CVE-2018-8828,CNNVD-201803-698,NA,2019-07-04,2023-11-02,
High,44380,Citrix XenApp和XenDesktop XML服务接口未初始化指针漏洞,NA,NA,NA,CTX129430,2017-08-01,2023-11-02,
High,734510,Delta Electronics InfraSuite设备反序列化漏洞,Deltaww,CVE-2023-1133,CNNVD-202303-2225,NA,2023-07-29,2023-11-02,
High,740700,Craft CMS CVE-2023-41892 远程代码执行漏洞,Craftcms,CVE-2023-41892,CNNVD-202309-992,NA,2023-09-27,2023-11-02,
High,741456,Cisco IOS XE Web UI CVE-2023-20198 权限提升漏洞 - 命令执行,Cisco,CVE-2023-20198,CNNVD-202310-1209,NA,2023-11-02,2023-11-02,
High,741651,Snakeyaml 反序列化远程代码执行漏洞,Snakeyaml project,CVE-2022-1471,CNNVD-202212-1820,NA,2023-11-02,2023-11-02,
Medium,741390,应用敏感信息泄露漏洞,NA,NA,NA,NA,2023-11-02,2023-11-02,
Medium,311540,PHP phar_parse_tarfile方法整数溢出漏洞,Php,CVE-2015-4021,CNNVD-201505-558,NA,2017-06-30,2023-11-02,
Medium,737431,致远OA getAjaxDataServlet接口 XML外部实体注入漏洞,NA,NA,NA,NA,2023-11-02,2023-11-02,
Medium,737432,致远OA getAjaxDataServlet接口 XML外部实体注入漏洞,NA,NA,NA,NA,2023-11-02,2023-11-02,
Medium,741370,YonYou U8 Cloud外部实体注入漏洞,NA,NA,NA,NA,2023-11-02,2023-11-02,
Medium,741830,大华智慧园区综合管理平台 SQL 注入漏洞,NA,NA,NA,NA,2023-11-02,2023-11-02,
Medium,737430,致远OA getAjaxDataServlet接口 XML外部实体注入漏洞,NA,NA,NA,NA,2023-08-17,2023-11-02,
Medium,741390,应用敏感信息泄露漏洞,NA,NA,NA,NA,2023-11-02,2023-11-02,
Medium,416351,Digium Asterisk res_pjsip_pubsub CVE-2018-7284越界写入漏洞,Digium,CVE-2018-7284,CNNVD-201802-746,NA,2019-04-28,2023-11-02,
Medium,311540,PHP phar_parse_tarfile方法整数溢出漏洞,Php,CVE-2015-4021,CNNVD-201505-558,NA,2017-06-30,2023-11-02,
Medium,725510,Apache JSPWiki UserPreferences.jsp 跨站请求伪造漏洞,Apache,CVE-2022-28731,CNNVD-202208-2160,NA,2022-11-11,2023-11-02,
Medium,545060,Centreon formMibs.php 命令注入漏洞,Centreon,CVE-2019-15298,CNNVD-201911-1432,NA,2020-04-24,2023-11-02,
Medium,439720,WebLog Expert Web Server Enterprise拒绝服务漏洞,Weblogexpert,CVE-2018-7582,CNNVD-201803-276,NA,2019-04-28,2023-11-02,
Medium,439721,WebLog Expert Web Server Enterprise拒绝服务漏洞,Weblogexpert,CVE-2018-7582,CNNVD-201803-276,NA,2019-04-28,2023-11-02,
High,77570,VLC Media Player文件缓冲区溢出漏洞,Videolan,CVE-2008-5032,CNNVD-200811-143,NA,2019-04-28,2023-10-27,
High,525521,冰蝎 3.x Webshell 连接流量 - ASP,NA,NA,NA,NA,2020-08-18,2023-10-27,
High,525523,冰蝎 3.x Webshell 连接流量 - JSP,NA,NA,NA,NA,2020-08-18,2023-10-27,
High,104680,mcRefer install.php PHP代码注入尝试,Mcrefer,CVE-2007-1073,CNNVD-200702-433,NA,2017-08-01,2023-10-27,
High,75941,Schneider Electric Interactive Graphical SCADA系统缓冲区溢出漏洞,Schneider-electric,CVE-2013-0657,CNNVD-201301-399,NA,2017-08-01,2023-10-27,
High,2000973,Web后门 102 - phpkit Webshell,NA,NA,NA,NA,2017-08-10,2023-10-27,
High,390080,Linux内核NFSv4 nfsd PNFS拒绝服务漏洞,Linux,CVE-2017-8797,CNNVD-201705-358,NA,2017-09-28,2023-10-27,
High,66740,Microsoft .NET Framework空字节注入信息泄露漏洞,NA,CVE-2007-0042,CNNVD-200707-170,MS07-040,2017-06-30,2023-10-27,
High,52200,Microsoft Windows OLE Automation OLESS 文件对象内存损坏,Microsoft,CVE-2011-3400,CNNVD-201112-202,MS11-093,2017-06-30,2023-10-27,
High,721921,冰蝎 v4 Webshell 连接流量,NA,NA,NA,NA,2022-07-29,2023-10-27,
High,617151,HTTP带外注入攻击 - DNSLog 域名：oast.me,NA,NA,NA,NA,2022-03-31,2023-10-27,
High,706540,EPrints CVE-2021-26703 任意文件读取漏洞,Eprints,CVE-2021-26703,CNNVD-202103-029,NA,2022-11-16,2023-10-27,
High,732080,Oracle WebLogic CVE-2023-21931不安全的反序列化漏洞,NA,CVE-2023-21931,CNNVD-202304-1541,NA,2023-04-21,2023-10-27,
High,732340,Zoho ManageEngine Applications Manager CVE-2023-28341 存储型跨站脚本漏洞,Zohocorp,CVE-2023-28341,CNNVD-202304-695,NA,2023-06-02,2023-10-27,
High,6163001,操作系统命令注入 Ping命令 - 位于HTTP请求参数中,NA,NA,NA,NA,2023-07-06,2023-10-27,
High,6163000,操作系统命令注入 Ping命令 - 位于HTTP请求参数中,NA,NA,NA,NA,2023-07-06,2023-10-27,
High,735311,D-Link DSL-g2452DG 命令注入漏洞,Dlink,CVE-2022-28932,CNNVD-202205-3974,NA,2023-08-09,2023-10-27,
High,735971,金蝶云星空任意文件读取漏洞,NA,NA,NA,NA,2023-08-10,2023-10-27,
High,735970,金蝶云星空任意文件读取漏洞,NA,NA,NA,NA,2023-08-10,2023-10-27,
High,726240,Apache Airflow DAG run_id命令注入,Apache,CVE-2022-40127,CNNVD-202211-2680,NA,2022-12-29,2023-10-27,
High,676960,ManageEngine OpManager远程目录删除漏洞,Zohocorp,CVE-2021-20078,CNNVD-202104-008,NA,2022-11-16,2023-10-27,
High,738890,RaspAP CVE-2022-39986 命令注入漏洞,Raspap,CVE-2022-39986,CNNVD-202308-031,NA,2023-09-22,2023-10-27,
High,739910,万户OA smartUpload.jsp任意文件上传漏洞,NA,NA,NA,NA,2023-09-14,2023-10-27,
High,735420,Rudder Server SQLI 远程代码执行漏洞,Rudderstack,CVE-2023-30625,CNNVD-202306-1314,NA,2023-08-10,2023-10-27,
High,728321,Contec CONPROSSYS HMI System chkFormula.php 命令注入漏洞,Contec,CVE-2022-44456,CNNVD-202212-3393,NA,2023-08-10,2023-10-27,
High,732990,Zyxel IKE数据包解码器 CVE-2023-28771 远程代码执行漏洞,Zyxel,CVE-2023-28771,CNNVD-202304-1976,NA,2023-09-01,2023-10-27,
High,732081,Oracle WebLogic CVE-2023-21931 不安全的反序列化漏洞,NA,CVE-2023-21931,CNNVD-202304-1541,NA,2023-09-01,2023-10-27,
High,741040,Zyxel CVE-2023-28770 敏感信息泄露漏洞,Zyxel,CVE-2023-28770,CNNVD-202304-2161,NA,2023-10-27,2023-10-27,
High,741300,PyroCMS CVE-2023-29689 模板注入注入漏洞,Pyrocms,CVE-2023-29689,CNNVD-202308-278,NA,2023-10-27,2023-10-27,
High,741270,TOTOLINK cstecgi.cgi 命令注入漏洞,Totolink,CVE-2023-24160,CNNVD-202302-1195,NA,2023-10-27,2023-10-27,
